price,bedrooms_number,batchrooms_number,square_footage_home,square_footage_lot,floors_number,has_waterfront,has_been_viewed,condition_quality,housing_unity_grade,square_footage_except_basement,square_footage_only_basement,build_year,renovation_year,coordinate_latitude,coordinate_longitude,square_footage_home_old,square_footage_lot_old
642.0,4,2.5,2120,15000,2.0,0,0,4,8,2120,0,1983,0,200.7159,4.900000000000006,2170,15000
1190.0,3,2.5,2510,4600,2.0,0,2,3,10,2510,0,2006,0,200.7051,4.777000000000001,2560,7500
429.95,5,3.5,2760,3865,2.5,0,0,3,8,2760,0,2013,0,200.5049,4.829999999999998,2590,4587
1365.0,2,1.75,2620,14138,2.0,1,4,3,8,2120,500,1931,1991,200.7142,4.722999999999999,1830,8279
620.0,4,2.25,2360,15860,1.0,0,0,3,9,2360,0,1977,0,200.6307,4.948999999999998,2650,11798
424.9,3,1.5,1450,7000,1.0,0,0,3,7,1450,0,1955,0,200.5983,4.849999999999994,1490,7245
315.0,3,1.0,1210,9730,1.0,0,0,4,7,1210,0,1953,0,200.762,4.644999999999996,1470,9730
180.0,2,1.0,740,3434,1.0,0,0,5,6,740,0,1920,0,200.2088,5.007999999999996,1160,6000
784.95,2,2.5,2680,7625,1.0,0,0,3,9,2680,0,2002,0,200.7094,4.975999999999999,2310,7395
700.0,5,3.25,3940,9780,2.0,0,0,3,9,3940,0,2007,0,200.5435,5.112000000000009,3550,8468
404.0,3,1.0,860,9403,1.0,0,0,4,6,860,0,1942,1990,200.6815,4.827000000000012,2136,13009
260.0,3,1.0,1230,10170,1.0,0,0,3,7,1230,0,1979,0,200.4437,5.227999999999994,1380,10098
260.0,2,1.0,1320,9967,1.0,0,0,3,6,940,380,1919,0,200.5693,4.7039999999999935,1970,7587
260.0,3,1.75,1410,9315,1.0,0,0,5,7,1410,0,1960,0,200.3969,4.802000000000007,1630,8250
1255.0,4,3.25,3160,10043,2.0,0,2,3,9,3160,0,2011,0,200.7001,4.7620000000000005,3450,10043
1047.0,4,4.5,4920,270236,2.0,0,3,3,10,3820,1100,2006,0,200.4695,5.224999999999994,4920,260924
480.0,4,2.75,1980,11443,1.0,0,0,5,7,1980,0,1952,0,200.7707,4.727000000000004,2080,15700
430.0,3,1.75,1680,14630,1.5,0,0,3,8,1680,0,1985,0,200.5272,4.956000000000003,1920,14630
393.0,3,3.25,1370,915,2.0,0,0,3,8,1100,270,2006,0,200.5639,4.612000000000009,1370,1146
370.0,2,1.75,1270,7500,1.0,0,0,4,7,1270,0,1982,0,200.6186,4.937000000000012,1280,7500
480.0,3,3.0,2540,18900,1.0,0,0,3,7,1580,960,1978,0,200.754,4.856000000000009,2270,16000
455.0,4,2.25,2120,8267,2.0,0,0,3,8,2120,0,1996,0,200.4885,5.2210000000000045,2150,7746
443.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0,200.7171,4.807000000000002,1200,9660
655.0,3,1.75,2140,9484,1.0,0,0,3,7,1290,850,1953,0,200.6234,4.8089999999999975,1960,9630
292.5,4,2.25,2250,12000,2.0,0,0,3,8,2250,0,1985,0,200.3715,4.725999999999999,2140,11871
418.0,4,3.5,2380,5809,2.0,0,0,4,7,1750,630,1995,0,200.5536,4.6410000000000045,1620,5775
354.0,3,2.5,1430,1002,3.0,0,0,3,8,1430,0,2002,0,200.698,4.6510000000000105,1430,1530
154.0,3,1.0,1700,8645,1.0,0,0,3,6,1700,0,1955,0,200.4899,4.662999999999997,1500,7980
925.0,3,2.25,3650,5353,2.0,0,4,4,7,2200,1450,1947,0,200.5949,4.709000000000003,1950,4970
630.0,3,2.5,1730,1301,3.0,0,0,3,9,1730,0,2011,0,200.653,4.647999999999996,1330,1240
247.0,3,1.75,1300,9856,1.0,0,0,4,7,1300,0,1962,0,200.3448,4.702000000000012,1400,9600
2405.0,4,3.75,4090,24825,2.0,0,0,4,11,3400,690,1926,0,200.6338,4.680999999999997,3910,11500
700.0,5,1.75,1790,9335,2.0,0,0,5,8,1790,0,1952,0,200.5945,4.798999999999992,1840,9612
1190.0,3,2.25,2390,7875,1.0,0,1,3,10,1980,410,1948,0,200.6515,4.722000000000008,3720,9075
380.0,3,1.0,1870,7671,1.0,0,0,4,8,1720,150,1937,0,200.7162,4.6400000000000015,1460,7679
605.0,3,2.5,2320,52272,1.5,0,0,3,8,2320,0,1974,0,200.587,4.932000000000002,2200,52272
229.4,3,1.75,1070,7200,1.0,0,0,3,7,1070,0,1994,0,200.3129,4.977000000000004,1280,7200
815.0,4,2.5,3340,8384,2.0,0,0,3,9,3340,0,2014,0,200.6761,4.847999999999999,1560,9429
311.0,3,1.5,1220,1086,3.0,0,0,3,8,1220,0,2007,0,200.7049,4.647000000000006,1220,1422
405.0,5,2.0,1930,9747,1.0,0,0,4,7,1020,910,1962,0,200.7743,4.7650000000000015,2040,9370
425.0,3,1.75,1060,38644,1.0,0,0,3,7,1060,0,1983,0,200.7442,4.927999999999997,1310,11416
720.0,4,2.5,2780,13521,2.0,0,0,3,10,2780,0,1987,0,200.6374,4.957999999999998,2980,11454
355.0,3,2.0,1380,3600,3.0,0,0,3,8,1380,0,2015,0,200.6074,4.694999999999993,1480,3600
231.0,3,1.0,970,5000,1.0,0,0,3,6,970,0,1968,0,200.5282,4.7210000000000045,1290,5875
305.0,3,1.0,1010,6300,1.0,0,0,3,7,1010,0,1957,0,200.7304,4.647999999999996,1480,7480
955.0,4,2.5,3770,35081,2.0,0,0,3,10,3770,0,1989,0,200.6908,4.948999999999998,4000,35492
229.5,4,1.0,1430,8355,1.5,0,0,4,7,1430,0,1983,0,200.3178,4.826000000000008,1550,7938
435.0,3,1.75,3440,10428,1.5,0,0,5,8,3440,0,1974,0,200.449,4.872000000000014,2160,8400
195.0,5,2.0,1750,10284,1.0,0,0,4,5,1750,0,1943,0,200.5094,4.817999999999998,1560,9010
475.0,4,2.0,2180,17180,2.0,0,0,4,7,2180,0,1977,0,200.698,5.079999999999998,1880,14043
340.0,3,2.5,1940,4927,2.0,0,0,3,8,1940,0,2004,0,200.4479,4.8799999999999955,2070,4892
340.0,3,2.5,2260,8040,2.0,0,0,3,8,2260,0,1990,0,200.3203,4.8160000000000025,2390,8040
545.0,5,2.5,3370,4850,2.0,0,0,3,9,3370,0,2007,0,200.5078,4.831000000000003,2900,5570
250.0,2,1.0,670,2356,1.0,0,0,5,6,670,0,1960,0,200.5918,4.704999999999998,1220,1740
207.0,2,1.0,840,7200,1.0,0,0,4,5,840,0,1907,0,200.3769,4.762999999999991,1030,7200
380.0,4,2.0,1240,3000,1.0,0,0,3,7,1040,200,1908,0,200.6076,4.702000000000012,1480,3500
745.0,4,2.75,2490,17833,2.0,0,2,3,9,1490,1000,1979,0,200.7206,4.716000000000008,2640,16943
375.0,5,2.5,2250,10400,1.0,0,0,3,8,1280,970,1973,0,200.4501,4.861000000000004,2140,9592
595.0,3,2.25,2300,12430,1.0,0,2,4,8,1580,720,1960,0,200.435,4.6529999999999925,2500,12430
844.0,4,2.75,2400,12469,1.0,0,2,4,8,1760,640,1958,0,200.5861,4.887999999999991,2400,10400
430.0,4,2.25,2660,11200,2.0,0,0,4,8,2660,0,1972,0,200.4722,4.869,2090,11120
210.0,4,1.0,1340,7920,1.0,0,0,4,7,1340,0,1970,0,200.2845,4.732999999999991,1090,9600
665.0,4,2.5,2290,9120,2.0,0,0,4,8,2290,0,1977,0,200.5613,4.872000000000014,2290,9120
1000.0,3,4.5,4380,47044,2.0,1,3,3,9,3720,660,1968,1990,200.4734,4.635000000000005,2460,18512
905.0,6,2.75,2300,24773,1.5,0,0,4,9,2300,0,1950,1985,200.5833,4.757999999999996,2720,11740
320.0,3,1.0,1900,14400,1.0,0,0,4,7,1300,600,1954,0,200.4147,4.662999999999997,1940,14400
525.0,11,3.0,3000,4960,2.0,0,0,3,7,2400,600,1918,1999,200.556,4.6370000000000005,1420,4960
270.0,2,2.0,1860,10856,1.0,0,0,3,8,1260,600,1952,0,200.4989,4.734999999999999,1250,10008
630.0,3,1.75,3160,76230,1.0,0,0,4,8,2160,1000,1978,0,200.274,4.712999999999994,1990,45789
589.95,4,3.0,3220,6224,1.5,0,0,3,9,3220,0,2009,0,200.4813,4.871000000000009,2950,6224
340.606,3,2.5,2538,4600,2.0,0,0,3,8,2538,0,2013,0,200.2584,4.804000000000002,2570,4800
285.0,1,0.75,420,6720,1.0,0,0,3,5,420,0,1922,0,200.552,4.688999999999994,1420,6720
379.0,2,2.25,1100,1695,2.0,0,0,3,9,1100,0,2009,0,200.5663,4.7109999999999985,1100,3082
3205.0,6,5.0,7100,18200,2.5,0,0,3,13,5240,1860,1933,2002,200.6427,4.592000000000013,3130,6477
354.9,4,2.5,2052,3723,2.0,0,0,3,8,2052,0,2014,0,200.2824,4.704999999999998,2052,5250
740.0,4,3.0,2840,4120,1.5,0,0,4,8,2060,780,1931,0,200.5683,4.717000000000013,1840,5871
750.0,4,3.25,3490,7024,2.0,0,0,3,10,3490,0,2006,0,200.5834,5.0279999999999925,3450,6866
285.0,3,1.0,1100,5132,1.0,0,0,3,6,840,260,1948,0,200.7011,4.6640000000000015,1280,5132
1120.0,4,2.5,3180,31931,1.0,0,0,4,10,2390,790,1978,0,200.6388,4.850999999999999,3180,35007
555.0,4,3.0,2360,6678,1.0,0,0,3,8,1760,600,1949,0,200.6919,4.687000000000012,1640,6380
405.0,3,1.75,1470,6682,1.0,0,0,3,7,1470,0,1987,0,200.7315,4.774000000000001,1790,7379
840.0,3,2.0,1570,4625,1.5,0,0,5,8,1570,0,1927,0,200.68,4.600999999999999,1760,4625
267.5,4,2.75,1500,7036,1.0,0,0,3,7,1060,440,1979,0,200.3665,4.7239999999999895,1620,7200
280.0,3,1.0,1250,7654,1.0,0,0,3,7,1000,250,1952,0,200.7289,4.709000000000003,1310,7350
405.0,2,1.0,840,5510,1.0,0,0,3,7,840,0,1955,0,200.5247,4.608999999999996,1630,5510
744.5,3,3.25,4460,51177,2.0,0,0,3,9,4460,0,2005,0,200.3648,4.8570000000000135,2670,38925
223.5,3,1.75,1390,9328,1.0,0,0,4,7,1390,0,1987,0,200.2766,4.853999999999999,1550,8374
1555.0,5,4.25,6070,171626,2.0,0,0,3,12,6070,0,1999,0,200.5954,5.049999999999997,4680,211267
785.0,4,2.5,3500,7048,2.0,0,0,3,9,3500,0,2005,0,200.6811,4.974999999999994,3920,7864
310.0,4,2.25,2130,9600,1.0,0,0,4,7,2130,0,1966,0,200.4119,4.7890000000000015,1710,9600
532.7,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,200.5707,4.872000000000014,2820,9375
744.375,5,3.0,2640,3200,2.0,0,0,4,7,2140,500,1906,0,200.6188,4.692000000000006,1540,2242
230.0,3,2.0,1400,7384,1.0,0,0,3,7,1150,250,1979,0,200.4655,4.826000000000008,1820,7992
820.0,5,3.5,3500,10794,2.0,0,0,3,10,3500,0,1996,0,200.5887,5.0260000000000105,3110,10837
755.0,4,2.75,2640,3750,2.0,0,0,5,7,1840,800,1911,0,200.6783,4.6370000000000005,1690,5000
425.0,3,2.5,2720,8622,2.0,0,0,3,8,2720,0,2002,0,200.4954,4.837000000000003,1950,8603
372.0,4,2.5,2350,8182,2.0,0,0,3,8,2350,0,1997,0,200.3697,4.893999999999991,2330,7000
645.0,5,3.5,3690,11928,2.0,0,0,3,9,2540,1150,2006,0,200.6108,4.939999999999999,2640,11928
223.0,3,1.5,1140,4875,1.0,0,0,5,6,1140,0,1970,0,200.3684,4.920000000000002,980,5070
385.0,2,2.0,1120,780,2.0,0,0,3,8,760,360,2004,0,200.5788,4.590000000000003,1120,1322
255.0,2,1.0,1030,8786,1.0,0,0,3,6,1030,0,1956,0,200.4814,4.658999999999992,1480,8121
340.0,3,1.5,2040,6000,1.0,0,0,3,7,1340,700,1957,0,200.5218,4.713999999999999,1190,6000
134.0,2,1.0,1150,30184,1.0,0,0,3,6,1150,0,1950,0,200.4492,4.799999999999997,1670,19684
985.0,4,2.25,3010,9800,2.0,0,0,4,9,3010,0,1973,0,200.5336,4.777000000000001,2510,9800
460.0,4,2.75,3030,117378,1.0,0,0,4,8,1680,1350,1959,0,200.401,4.864999999999995,2060,110957
1205.0,5,4.0,2710,2800,3.0,0,0,3,10,2380,330,1974,2008,200.6346,4.63600000000001,1530,3600
328.0,4,1.75,1440,8114,1.0,0,0,4,7,1440,0,1963,0,200.7639,4.667999999999992,1940,7208
385.0,3,1.0,1380,5400,1.0,0,0,4,7,1380,0,1954,0,200.7134,4.712000000000003,1190,6075
344.995,4,2.5,2180,5367,2.0,0,0,3,7,2180,0,2000,0,200.3775,4.977999999999994,2180,5130
352.5,4,2.5,2460,7350,2.0,0,0,3,9,2460,0,1989,0,200.3061,4.6510000000000105,2390,8568
324.5,4,2.75,2500,5100,1.5,0,0,4,7,1420,1080,1907,0,200.523,4.667999999999992,1430,5100
235.0,5,1.0,1410,9000,1.0,0,0,5,7,1410,0,1967,0,200.3054,4.631,1200,8346
452.0,2,1.0,760,6035,1.0,0,0,3,6,760,0,1920,0,200.5443,4.617999999999995,2110,6046
241.0,4,2.5,1630,3060,2.0,0,0,3,7,1630,0,2003,0,200.5072,4.6640000000000015,1270,4590
395.0,2,1.0,962,1992,2.0,0,0,3,7,962,0,2012,0,200.6911,4.687000000000012,1130,1992
636.0,5,2.0,2270,2400,2.0,0,0,3,7,2270,0,1905,0,200.6051,4.680999999999997,1320,2400
290.0,2,2.0,1651,18200,1.0,0,0,3,6,1651,0,1946,0,200.4621,4.5390000000000015,1510,89595
635.0,3,1.75,1710,8767,1.0,0,0,4,8,1710,0,1986,0,200.6945,4.812000000000012,2050,9200
430.0,3,1.0,970,8040,1.0,0,0,3,7,970,0,1956,0,200.603,4.867999999999995,1250,7000
510.0,3,1.0,1100,5400,1.5,0,0,3,7,1100,0,1908,0,200.6604,4.603999999999999,1770,4400
495.0,2,2.5,1230,1391,2.0,0,0,3,8,870,360,2004,0,200.6192,4.698999999999998,1240,1350
222.0,3,1.5,1860,8505,1.0,0,0,4,7,1860,0,1967,0,200.3106,4.635000000000005,1810,8262
